"","honeycomb","score"
"20953","geilnop",898
"20954","ieglnop",1061
"20955","leginop",726
"20956","negilop",1056
"20957","oegilnp",723
"20958","pegilno",651
"20959","celnoqu",163
"20960","eclnoqu",175
"20961","lcenoqu",159
"20962","nceloqu",151
"20963","ocelnqu",151
"20964","qcelnou",45
"20965","ucelnoq",130
"20966","elnoqtu",266
"20967","lenoqtu",182
"20968","neloqtu",181
"20969","oelnqtu",166
"20970","qelnotu",74
"20971","telnoqu",247
"20972","uelnoqt",189
"20973","egilntu",927
"20974","geilntu",1028
"20975","ieglntu",1128
"20976","legintu",978
"20977","negiltu",1166
"20978","tegilnu",925
"20979","uegilnt",637
"20980","eilnotu",581
"20981","ielnotu",524
"20982","leinotu",521
"20983","neilotu",542
"20984","oeilntu",400
"20985","teilnou",594
"20986","ueilnot",282
"20987","aeilrtu",1298
"20988","eailrtu",1515
"20989","iaelrtu",999
"20990","laeirtu",1128
"20991","raeiltu",1494
"20992","taeilru",1424
"20993","uaeilrt",462
"20994","aeiltuv",556
"20995","eailtuv",518
"20996","iaeltuv",371
"20997","laeituv",597
"20998","taeiluv",448
"20999","uaeiltv",255
"21000","vaeiltu",411
"21001","elnorty",808
"21002","lenorty",401
"21003","nelorty",484
"21004","oelnrty",593
"21005","relnoty",695
"21006","telnory",707
"21007","yelnort",274
"21008","elmrtuy",551
"21009","lemrtuy",326
"21010","melrtuy",371
"21011","relmtuy",469
"21012","telmruy",429
"21013","uelmrty",341
"21014","yelmrtu",201
"21015","aegilmn",1574
"21016","eagilmn",1188
"21017","gaeilmn",1338
"21018","iaeglmn",1594
"21019","laegimn",1477
"21020","maegiln",1146
"21021","naegilm",1599
"21022","aeimntv",956
"21023","eaimntv",901
"21024","iaemntv",861
"21025","maeintv",688
"21026","naeimtv",947
"21027","taeimnv",894
"21028","vaeimnt",346
"21029","abdekmn",663
"21030","badekmn",404
"21031","dabekmn",607
"21032","eabdkmn",693
"21033","kabdemn",169
"21034","mabdekn",470
"21035","nabdekm",542
"21036","abekmnt",536
"21037","baekmnt",289
"21038","eabkmnt",477
"21039","kabemnt",152
"21040","mabeknt",332
"21041","nabekmt",412
"21042","tabekmn",404
"21043","abegmor",720
"21044","baegmor",489
"21045","eabgmor",806
"21046","gabemor",532
"21047","mabegor",583
"21048","oabegmr",426
"21049","rabegmo",840
"21050","abdelmt",1243
"21051","badelmt",803
"21052","dabelmt",890
"21053","eabdlmt",1368
"21054","labdemt",1077
"21055","mabdelt",668
"21056","tabdelm",744
"21057","abemnty",568
"21058","baemnty",293
"21059","eabmnty",524
"21060","mabenty",399
"21061","nabemty",451
"21062","tabemny",424
"21063","yabemnt",208
"21064","belmntz",108
"21065","eblmntz",192
"21066","lbemntz",119
"21067","mbelntz",85
"21068","nbelmtz",109
"21069","tbelmnz",125
"21070","zbelmnt",46
"21071","bdeimrt",665
"21072","dbeimrt",1008
"21073","ebdimrt",1603
"21074","ibdemrt",1224
"21075","mbdeirt",778
"21076","rbdeimt",1306
"21077","tbdeimr",890
"21078","beimnrt",397
"21079","ebimnrt",1339
"21080","ibemnrt",1045
"21081","mbeinrt",659
"21082","nbeimrt",742
"21083","rbeimnt",1154
"21084","tbeimnr",1040
"21085","abdelmz",720
"21086","badelmz",506
"21087","dabelmz",609
"21088","eabdlmz",817
"21089","labdemz",651
"21090","mabdelz",440
"21091","zabdelm",135
"21092","abelmrz",761
"21093","baelmrz",584
"21094","eablmrz",795
"21095","labemrz",544
"21096","mabelrz",454
"21097","rabelmz",636
"21098","zabelmr",168
"21099","bdelmno",454
"21100","dbelmno",675
"21101","ebdlmno",791
"21102","lbdemno",487
"21103","mbdelno",357
"21104","nbdelmo",421
"21105","obdelmn",614
"21106","bceilmo",315
"21107","cbeilmo",304
"21108","ebcilmo",400
"21109","ibcelmo",362
"21110","lbceimo",402
"21111","mbceilo",284
"21112","obceilm",354
"21113","bdelmow",432
"21114","dbelmow",662
"21115","ebdlmow",754
"21116","lbdemow",510
"21117","mbdelow",299
"21118","obdelmw",564
"21119","wbdelmo",367
"21120","abcemor",723
"21121","bacemor",560
"21122","cabemor",570
"21123","eabcmor",774
"21124","mabceor",646
"21125","oabcemr",537
"21126","rabcemo",817
"21127","abcemry",705
"21128","bacemry",417
"21129","cabemry",366
"21130","eabcmry",684
"21131","mabcery",495
"21132","rabcemy",677
"21133","yabcemr",299
"21134","beilmrt",565
"21135","ebilmrt",1306
"21136","ibelmrt",1045
"21137","lbeimrt",724
"21138","mbeilrt",657
"21139","rbeilmt",1107
"21140","tbeilmr",866
"21141","bemnorw",322
"21142","ebmnorw",450
"21143","mbenorw",276
"21144","nbemorw",252
"21145","obemnrw",415
"21146","rbemnow",419
"21147","wbemnor",230
"21148","bdemrtu",498
"21149","dbemrtu",708
"21150","ebdmrtu",1066
"21151","mbdertu",522
"21152","rbdemtu",871
"21153","tbdemru",499
"21154","ubdemrt",687
"21155","bemnory",318
"21156","ebmnory",409
"21157","mbenory",299
"21158","nbemory",242
"21159","obemnry",414
"21160","rbemnoy",368
"21161","ybemnor",226
"21162","cegmnry",99
"21163","ecgmnry",296
"21164","gcemnry",202
"21165","mcegnry",179
"21166","ncegmry",157
"21167","rcegmny",260
"21168","ycegmnr",129
"21169","aegimrt",1415
"21170","eagimrt",1814
"21171","gaeimrt",841
"21172","iaegmrt",1035
"21173","maegirt",1123
"21174","raegimt",1740
"21175","taegimr",1368
"21176","eilmnty",594
"21177","ielmnty",555
"21178","leimnty",443
"21179","meilnty",355
"21180","neilmty",509
"21181","teilmny",510
"21182","yeilmnt",252
"21183","aegmnou",342
"21184","eagmnou",300
"21185","gaemnou",330
"21186","maegnou",343
"21187","naegmou",383
"21188","oaegmnu",260
"21189","uaegmno",144
"21190","eilmnot",942
"21191","ielmnot",818
"21192","leimnot",708
"21193","meilnot",688
"21194","neilmot",798
"21195","oeilmnt",712
"21196","teilmno",819
"21197","elmnotu",574
"21198","lemnotu",370
"21199","melnotu",456
"21200","nelmotu",426
"21201","oelmntu",443
"21202","telmnou",556
"21203","uelmnot",344
"21204","egimnot",709
"21205","geimnot",681
"21206","iegmnot",867
"21207","meginot",612
"21208","negimot",999
"21209","oegimnt",707
"21210","tegimno",755
"21211","eimotvy",143
"21212","iemotvy",136
"21213","meiotvy",178
"21214","oeimtvy",167
"21215","teimovy",186
"21216","veimoty",77
"21217","yeimotv",69
"21218","adelmnp",1254
"21219","daelmnp",1043
"21220","eadlmnp",1299
"21221","lademnp",895
"21222","madelnp",660
"21223","nadelmp",825
"21224","padelmn",708
"21225","aehmpty",312
"21226","eahmpty",325
"21227","haempty",196
"21228","maehpty",239
"21229","paehmty",216
"21230","taehmpy",315
"21231","yaehmpt",214
"21232","delmopy",564
"21233","edlmopy",626
"21234","ldemopy",549
"21235","mdelopy",300
"21236","odelmpy",616
"21237","pdelmoy",442
"21238","ydelmop",302
"21239","elmopry",640
"21240","lemopry",460
"21241","melopry",315
"21242","oelmpry",594
"21243","pelmory",575
"21244","relmopy",584
"21245","yelmopr",354
"21246","aeimopr",624
"21247","eaimopr",893
"21248","iaemopr",565
"21249","maeiopr",660
"21250","oaeimpr",388
"21251","paeimor",682
"21252","raeimop",969
"21253","eimopru",596
"21254","iemopru",395
"21255","meiopru",457
"21256","oeimpru",312
"21257","peimoru",470
"21258","reimopu",637
"21259","ueimopr",239
"21260","demoprw",768
"21261","edmoprw",960
"21262","mdeoprw",365
"21263","odemprw",733
"21264","pdemorw",499
"21265","rdemopw",788
"21266","wdemopr",351
"21267","eilmpty",370
"21268","ielmpty",307
"21269","leimpty",280
"21270","meilpty",211
"21271","peilmty",256
"21272","teilmpy",306
"21273","yeilmpt",158
"21274","delmpru",864
"21275","edlmpru",1137
"21276","ldempru",627
"21277","mdelpru",565
"21278","pdelmru",621
"21279","rdelmpu",787
"21280","udelmpr",810
"21281","aelmpry",1032
"21282","ealmpry",988
"21283","laempry",718
"21284","maelpry",486
"21285","paelmry",718
"21286","raelmpy",888
"21287","yaelmpr",516
"21288","aemnpry",691
"21289","eamnpry",720
"21290","maenpry",399
"21291","naempry",347
"21292","paemnry",471
"21293","raemnpy",634
"21294","yaemnpr",306
"21295","adelmtu",835
"21296","daelmtu",729
"21297","eadlmtu",1041
"21298","lademtu",847
"21299","madeltu",656
"21300","tadelmu",645
"21301","uadelmt",493
"21302","aelmnrw",587
"21303","ealmnrw",570
"21304","laemnrw",325
"21305","maelnrw",361
"21306","naelmrw",338
"21307","raelmnw",463
"21308","waelmnr",174
"21309","aemnoru",523
"21310","eamnoru",537
"21311","maenoru",597
"21312","naemoru",444
"21313","oaemnru",375
"21314","raemnou",621
"21315","uaemnor",300
"21316","acdemnp",728
"21317","cademnp",319
"21318","dacemnp",657
"21319","eacdmnp",791
"21320","macdenp",425
"21321","nacdemp",625
"21322","pacdemn",400
"21323","acemnpt",709
"21324","caemnpt",339
"21325","eacmnpt",698
"21326","macenpt",296
"21327","nacempt",585
"21328","pacemnt",395
"21329","tacemnp",579
"21330","acehlnp",751
"21331","caehlnp",521
"21332","eachlnp",651
"21333","hacelnp",361
"21334","lacehnp",560
"21335","nacehlp",428
"21336","pacehln",443
"21337","aceghin",465
"21338","caeghin",400
"21339","eacghin",360
"21340","gacehin",463
"21341","hacegin",357
"21342","iaceghn",558
"21343","naceghi",632
"21344","cehinpr",615
"21345","echinpr",866
"21346","hceinpr",407
"21347","icehnpr",798
"21348","ncehipr",479
"21349","pcehinr",619
"21350","rcehinp",779
"21351","aceimno",679
"21352","caeimno",619
"21353","eacimno",503
"21354","iacemno",707
"21355","maceino",657
"21356","naceimo",809
"21357","oaceimn",579
"21358","ceimnou",372
"21359","ecimnou",319
"21360","icemnou",434
"21361","mceinou",398
"21362","nceimou",504
"21363","oceimnu",418
"21364","uceimno",263
"21365","acehnor",714
"21366","caehnor",851
"21367","eachnor",699
"21368","hacenor",545
"21369","nacehor",611
"21370","oacehnr",659
"21371","racehno",783
"21372","cenprty",218
"21373","ecnprty",638
"21374","nceprty",345
"21375","pcenrty",359
"21376","rcenpty",517
"21377","tcenpry",481
"21378","ycenprt",195
"21379","bcemnru",239
"21380","cbemnru",163
"21381","ebcmnru",379
"21382","mbcenru",283
"21383","nbcemru",143
"21384","rbcemnu",359
"21385","ubcemnr",311
"21386","ademnrt",2223
"21387","daemnrt",1709
"21388","eadmnrt",2652
"21389","madenrt",1287
"21390","nademrt",1561
"21391","rademnt",2038
"21392","tademnr",1756
"21393","adenorv",756
"21394","daenorv",1115
"21395","eadnorv",1277
"21396","nadeorv",727
"21397","oadenrv",616
"21398","radenov",1076
"21399","vadenor",543
"21400","cdeimnr",468
"21401","dceimnr",904
"21402","ecdimnr",1149
"21403","icdemnr",855
"21404","mcdeinr",484
"21405","ncdeimr",596
"21406","rcdeimn",844
"21407","demnoyz",295
"21408","edmnoyz",346
"21409","mdenoyz",236
"21410","ndemoyz",276
"21411","odemnyz",296
"21412","ydemnoz",164
"21413","zdemnoy",87
"21414","deinopt",1054
"21415","edinopt",1365
"21416","idenopt",1001
"21417","ndeiopt",1125
"21418","odeinpt",888
"21419","pdeinot",892
"21420","tdeinop",1069
"21421","deinotx",678
"21422","edinotx",741
"21423","idenotx",583
"21424","ndeiotx",638
"21425","odeintx",444
"21426","tdeinox",587
"21427","xdeinot",177
"21428","deginow",1013
"21429","edginow",853
"21430","gdeinow",879
"21431","idegnow",997
"21432","ndegiow",1081
"21433","odeginw",721
"21434","wdegino",606
"21435","demnotw",573
"21436","edmnotw",732
"21437","mdenotw",351
"21438","ndemotw",491
"21439","odemntw",543
"21440","tdemnow",472
"21441","wdemnot",274
"21442","cdeinoz",452
"21443","dceinoz",617
"21444","ecdinoz",638
"21445","icdenoz",515
"21446","ncdeioz",558
"21447","ocdeinz",566
"21448","zcdeino",227
"21449","adelnpt",1630
"21450","daelnpt",1159
"21451","eadlnpt",1837
"21452","ladenpt",1196
"21453","nadelpt",1079
"21454","padelnt",1109
"21455","tadelnp",1157
"21456","deginrz",1185
"21457","edginrz",1483
"21458","gdeinrz",1227
"21459","idegnrz",1378
"21460","ndegirz",1255
"21461","rdeginz",1229
"21462","zdeginr",224
"21463","beflmnt",109
"21464","ebflmnt",223
"21465","fbelmnt",77
"21466","lbefmnt",148
"21467","mbeflnt",82
"21468","nbeflmt",116
"21469","tbeflmn",141
"21470","befgiln",402
"21471","ebfgiln",527
"21472","fbegiln",217
"21473","gbefiln",585
"21474","ibefgln",707
"21475","lbefgin",489
"21476","nbefgil",607
"21477","efginrt",1831
"21478","feginrt",830
"21479","gefinrt",1288
"21480","iefgnrt",1764
"21481","nefgirt",1663
"21482","refgint",1778
"21483","tefginr",1337
"21484","efginrv",1140
"21485","feginrv",474
"21486","gefinrv",879
"21487","iefgnrv",1111
"21488","nefgirv",987
"21489","refginv",1122
"21490","vefginr",506
"21491","adefiln",907
"21492","daefiln",1003
"21493","eadfiln",1149
"21494","fadeiln",550
"21495","iadefln",843
"21496","ladefin",985
"21497","nadefil",819
"21498","adeflmn",902
"21499","daeflmn",778
"21500","eadflmn",923
"21501","fadelmn",295
"21502","ladefmn",645
"21503","madefln",549
"21504","nadeflm",582
"21505","deflnor",1102
"21506","edflnor",1366
"21507","fdelnor",741
"21508","ldefnor",652
"21509","ndeflor",619
"21510","odeflnr",1004
"21511","rdeflno",1072
"21512","adefmnr",1149
"21513","daefmnr",1180
"21514","eadfmnr",1449
"21515","fademnr",437
"21516","madefnr",824
"21517","nadefmr",788
"21518","radefmn",1154
"21519","aefmnrt",1155
"21520","eafmnrt",1361
"21521","faemnrt",352
"21522","maefnrt",665
"21523","naefmrt",785
"21524","raefmnt",1230
"21525","taefmnr",1142
"21526","aegilny",974
"21527","eagilny",766
"21528","gaeilny",1066
"21529","iaeglny",1046
"21530","laeginy",1146
"21531","naegily",1112
"21532","yaegiln",485
"21533","degilnr",1892
"21534","edgilnr",2317
"21535","gdeilnr",1893
"21536","ideglnr",2260
"21537","ldeginr",1249
"21538","ndegilr",1788
"21539","rdegiln",1890
"21540","deglntu",599
"21541","edglntu",834
"21542","gdelntu",352
"21543","ldegntu",513
"21544","ndegltu",515
"21545","tdeglnu",430
"21546","udeglnt",586
"21547","egmnort",1147
"21548","gemnort",472
"21549","megnort",581
"21550","negmort",686
"21551","oegmnrt",838
"21552","regmnot",986
"21553","tegmnor",884
"21554","aefgnrt",1233
"21555","eafgnrt",1461
"21556","faegnrt",333
"21557","gaefnrt",753
"21558","naefgrt",901
"21559","raefgnt",1372
"21560","taefgnr",1120
"21561","adegnrv",1395
"21562","daegnrv",1233
"21563","eadgnrv",1790
"21564","gadenrv",1115
"21565","nadegrv",1075
"21566","radegnv",1551
"21567","vadegnr",560
"21568","defglnu",622
"21569","edfglnu",720
"21570","fdeglnu",335
"21571","gdeflnu",334
"21572","ldefgnu",483
"21573","ndefglu",384
"21574","udefgln",590
"21575","adehlno",666
"21576","daehlno",788
"21577","eadhlno",786
"21578","hadelno",449
"21579","ladehno",708
"21580","nadehlo",477
"21581","oadehln",513
"21582","abdejmn",581
"21583","badejmn",350
"21584","dabejmn",547
"21585","eabdjmn",603
"21586","jabdemn",54
"21587","mabdejn",473
"21588","nabdejm",473
"21589","abejmnt",445
"21590","baejmnt",237
"21591","eabjmnt",427
"21592","jabemnt",56
"21593","mabejnt",325
"21594","nabejmt",375
"21595","tabejmn",363
"21596","egijnoy",179
"21597","geijnoy",273
"21598","iegjnoy",278
"21599","jeginoy",93
"21600","negijoy",328
"21601","oegijny",216
"21602","yegijno",110
"21603","ejmnoty",310
"21604","jemnoty",62
"21605","mejnoty",236
"21606","nejmoty",276
"21607","oejmnty",283
"21608","tejmnoy",275
"21609","yejmnot",190
"21610","degikln",845
"21611","edgikln",1064
"21612","gdeikln",843
"21613","idegkln",1114
"21614","kdegiln",531
"21615","ldegikn",820
"21616","ndegikl",998
"21617","abeglnr",1421
"21618","baeglnr",744
"21619","eabglnr",1402
"21620","gabelnr",985
"21621","labegnr",925
"21622","nabeglr",679
"21623","rabegln",1119
"21624","eghilnt",914
"21625","gehilnt",986
"21626","hegilnt",559
"21627","ieghlnt",1170
"21628","leghint",760
"21629","neghilt",1049
"21630","teghiln",944
"21631","belmnot",261
"21632","eblmnot",506
"21633","lbemnot",327
"21634","mbelnot",315
"21635","nbelmot",338
"21636","obelmnt",451
"21637","tbelmno",418
"21638","adeikno",271
"21639","daeikno",451
"21640","eadikno",455
"21641","iadekno",332
"21642","kadeino",243
"21643","nadeiko",456
"21644","oadeikn",271
"21645","ceginou",326
"21646","ecginou",261
"21647","gceinou",391
"21648","icegnou",452
"21649","ncegiou",534
"21650","oceginu",416
"21651","ucegino",150
"21652","deinqru",730
"21653","edinqru",905
"21654","idenqru",580
"21655","ndeiqru",623
"21656","qdeinru",207
"21657","rdeinqu",662
"21658","udeinqr",540
"21659","eginqru",664
"21660","geinqru",646
"21661","iegnqru",697
"21662","negiqru",726
"21663","qeginru",207
"21664","reginqu",694
"21665","ueginqr",456
"21666","einqruy",261
"21667","ienqruy",195
"21668","neiqruy",202
"21669","qeinruy",155
"21670","reinquy",228
"21671","ueinqry",239
"21672","yeinqru",81
"21673","cdehinr",623
"21674","dcehinr",854
"21675","ecdhinr",1123
"21676","hcdeinr",465
"21677","icdehnr",865
"21678","ncdehir",591
"21679","rcdehin",883
"21680","elmnort",1194
"21681","lemnort",514
"21682","melnort",647
"21683","nelmort",634
"21684","oelmnrt",916
"21685","relmnot",952
"21686","telmnor",1026
"21687","eginort",2016
"21688","geinort",1611
"21689","iegnort",1944
"21690","negiort",2089
"21691","oeginrt",1293
"21692","reginot",2094
"21693","teginor",1814
"21694","adeglnt",1385
"21695","daeglnt",988
"21696","eadglnt",1516
"21697","gadelnt",789
"21698","ladegnt",1082
"21699","nadeglt",976
"21700","tadegln",945
"21701","aeglmnt",1293
"21702","eaglmnt",1238
"21703","gaelmnt",745
"21704","laegmnt",883
"21705","maeglnt",781
"21706","naeglmt",912
"21707","taeglmn",990
"21708","cehlnty",127
"21709","echlnty",286
"21710","hcelnty",183
"21711","lcehnty",155
"21712","ncehlty",148
"21713","tcehlny",216
"21714","ycehlnt",161
"21715","abelnrt",1877
"21716","baelnrt",983
"21717","eablnrt",1970
"21718","labenrt",1186
"21719","nabelrt",1028
"21720","rabelnt",1586
"21721","tabelnr",1646
"21722","einortx",1042
"21723","ienortx",732
"21724","neiortx",847
"21725","oeinrtx",639
"21726","reinotx",988
"21727","teinorx",1045
"21728","xeinort",178
"21729","ehmnort",1098
"21730","hemnort",445
"21731","mehnort",545
"21732","nehmort",638
"21733","oehmnrt",885
"21734","rehmnot",989
"21735","tehmnor",1008
"21736","eilnrty",1155
"21737","ielnrty",913
"21738","leinrty",616
"21739","neilrty",789
"21740","reilnty",896
"21741","teilnry",1009
"21742","yeilnrt",325
"21743","demnort",1146
"21744","edmnort",1811
"21745","mdenort",839
"21746","ndemort",1074
"21747","odemnrt",1259
"21748","rdemnot",1394
"21749","tdemnor",1234
"21750","egilnot",942
"21751","geilnot",1073
"21752","ieglnot",1308
"21753","leginot",1024
"21754","negilot",1296
"21755","oegilnt",800
"21756","tegilno",955
"21757","cenoprt",783
"21758","ecnoprt",1498
"21759","nceoprt",973
"21760","ocenprt",1221
"21761","pcenort",783
"21762","rcenopt",1317
"21763","tcenopr",1245
"21764","aelnotz",596
"21765","ealnotz",539
"21766","laenotz",458
"21767","naelotz",509
"21768","oaelntz",376
"21769","taelnoz",564
"21770","zaelnot",180
"21771","ceinotz",550
"21772","ecinotz",515
"21773","icenotz",533
"21774","nceiotz",626
"21775","oceintz",598
"21776","tceinoz",569
"21777","zceinot",150
"21778","adenprt",2467
"21779","daenprt",1926
"21780","eadnprt",3060
"21781","nadeprt",1698
"21782","padenrt",1637
"21783","radenpt",2464
"21784","tadenpr",2184
"21785","cdehnrt",491
"21786","dcehnrt",656
"21787","ecdhnrt",1040
"21788","hcdenrt",326
"21789","ncdehrt",601
"21790","rcdehnt",813
"21791","tcdehnr",730
"21792","cehmnrt",281
"21793","echmnrt",615
"21794","hcemnrt",262
"21795","mcehnrt",231
"21796","ncehmrt",336
"21797","rcehmnt",495
"21798","tcehmnr",512
"21799","einoprt",2082
"21800","ienoprt",1534
"21801","neioprt",1609
"21802","oeinprt",1394
"21803","peinort",1424
"21804","reinopt",1895
"21805","teinopr",1854
"21806","enoprty",1123
"21807","neoprty",632
"21808","oenprty",820
"21809","penorty",733
"21810","renopty",952
"21811","tenopry",910
"21812","yenoprt",359
"21813","aenrtwy",917
"21814","eanrtwy",1027
"21815","naertwy",747
"21816","raentwy",986
"21817","taenrwy",943
"21818","waenrty",366
"21819","yaenrtw",383
"21820","aemnrtu",1357
"21821","eamnrtu",1559
"21822","maenrtu",923
"21823","naemrtu",1069
"21824","raemntu",1427
"21825","taemnru",1465
"21826","uaemnrt",693
"21827","delnopv",609
"21828","edlnopv",756
"21829","ldenopv",483
"21830","ndelopv",352
"21831","odelnpv",555
"21832","pdelnov",421
"21833","vdelnop",265
"21834","egimnov",356
"21835","geimnov",402
"21836","iegmnov",462
"21837","meginov",286
"21838","negimov",500
"21839","oegimnv",351
"21840","vegimno",186
"21841","abeilnv",757
"21842","baeilnv",489
"21843","eabilnv",741
"21844","iabelnv",694
"21845","labeinv",837
"21846","nabeilv",587
"21847","vabeiln",395
"21848","deinorv",1251
"21849","edinorv",1503
"21850","idenorv",990
"21851","ndeiorv",858
"21852","odeinrv",690
"21853","rdeinov",1214
"21854","vdeinor",845
"21855","eginorv",1246
"21856","geinorv",1174
"21857","iegnorv",1225
"21858","negiorv",1224
"21859","oeginrv",695
"21860","reginov",1264
"21861","veginor",741
"21862","egilnvy",517
"21863","geilnvy",542
"21864","ieglnvy",658
"21865","leginvy",534
"21866","negilvy",597
"21867","vegilny",327
"21868","yegilnv",287
"21869","eghilnw",408
"21870","gehilnw",481
"21871","hegilnw",245
"21872","ieghlnw",553
"21873","leghinw",344
"21874","neghilw",502
"21875","weghiln",252
"21876","adenprw",1260
"21877","daenprw",1230
"21878","eadnprw",1626
"21879","nadeprw",814
"21880","padenrw",820
"21881","radenpw",1270
"21882","wadenpr",644
"21883","ceimnyz",112
"21884","ecimnyz",147
"21885","icemnyz",157
"21886","mceinyz",152
"21887","nceimyz",174
"21888","yceimnz",93
"21889","zceimny",59
"21890","cehilot",528
"21891","echilot",491
"21892","hceilot",439
"21893","icehlot",555
"21894","lcehiot",621
"21895","ocehilt",507
"21896","tcehilo",559
"21897","acehpry",625
"21898","caehpry",450
"21899","eachpry",713
"21900","hacepry",364
"21901","pacehry",558
"21902","racehpy",698
"21903","yacehpr",315
"21904","adelptu",1043
"21905","daelptu",882
"21906","eadlptu",1311
"21907","ladeptu",1117
"21908","padeltu",915
"21909","tadelpu",799
"21910","uadelpt",543
"21911","ademnpy",594
"21912","daemnpy",546
"21913","eadmnpy",622
"21914","madenpy",397
"21915","nadempy",533
"21916","pademny",337
"21917","yademnp",197
"21918","cehinpt",342
"21919","echinpt",541
"21920","hceinpt",302
"21921","icehnpt",502
"21922","ncehipt",431
"21923","pcehint",325
"21924","tcehinp",476
"21925","cegiptx",86
"21926","ecgiptx",155
"21927","gceiptx",45
"21928","icegptx",131
"21929","pcegitx",121
"21930","tcegipx",137
"21931","xcegipt",58
"21932","dehinpr",846
"21933","edhinpr",1154
"21934","hdeinpr",248
"21935","idehnpr",815
"21936","ndehipr",662
"21937","pdehinr",619
"21938","rdehinp",879
"21939","aehlmpr",885
"21940","eahlmpr",871
"21941","haelmpr",320
"21942","laehmpr",567
"21943","maehlpr",478
"21944","paehlmr",564
"21945","raehlmp",721
"21946","dehimpr",615
"21947","edhimpr",894
"21948","hdeimpr",170
"21949","idehmpr",648
"21950","mdehipr",403
"21951","pdehimr",485
"21952","rdehimp",750
"21953","ehmnopr",554
"21954","hemnopr",281
"21955","mehnopr",343
"21956","nehmopr",381
"21957","oehmnpr",546
"21958","pehmnor",446
"21959","rehmnop",483
"21960","aehlopr",713
"21961","eahlopr",873
"21962","haelopr",385
"21963","laehopr",760
"21964","oaehlpr",569
"21965","paehlor",780
"21966","raehlop",776
"21967","aehoprt",1148
"21968","eahoprt",1449
"21969","haeoprt",651
"21970","oaehprt",873
"21971","paehort",1066
"21972","raehopt",1589
"21973","taehopr",1431
"21974","bceilop",241
"21975","cbeilop",223
"21976","ebcilop",334
"21977","ibcelop",278
"21978","lbceiop",360
"21979","obceilp",337
"21980","pbceilo",206
"21981","beilopy",240
"21982","ebilopy",270
"21983","ibelopy",185
"21984","lbeiopy",341
"21985","obeilpy",277
"21986","pbeiloy",227
"21987","ybeilop",180
"21988","aceilpy",634
"21989","caeilpy",495
"21990","eacilpy",458
"21991","iacelpy",461
"21992","laceipy",678
"21993","paceily",447
"21994","yaceilp",318
"21995","acdeipr",1485
"21996","cadeipr",1183
"21997","daceipr",1473
"21998","eacdipr",2052
"21999","iacdepr",1377
"22000","pacdeir",1224
"22001","racdeip",1958
"22002","cdeimpu",203
"22003","dceimpu",385
"22004","ecdimpu",386
"22005","icdempu",253
"22006","mcdeipu",224
"22007","pcdeimu",185
"22008","ucdeimp",222
"22009","ceilptu",325
"22010","ecilptu",480
"22011","icelptu",439
"22012","lceiptu",456
"22013","pceiltu",324
"22014","tceilpu",491
"22015","uceilpt",306
"22016","deimopr",1019
"22017","edimopr",1375
"22018","idemopr",797
"22019","mdeiopr",682
"22020","odeimpr",738
"22021","pdeimor",814
"22022","rdeimop",1187
"22023","cdeiopt",523
"22024","dceiopt",683
"22025","ecdiopt",797
"22026","icdeopt",643
"22027","ocdeipt",599
"22028","pcdeiot",521
"22029","tcdeiop",638
"22030","aefinpu",194
"22031","eafinpu",198
"22032","faeinpu",90
"22033","iaefnpu",184
"22034","naefipu",246
"22035","paefinu",202
"22036","uaefinp",101
"22037","ceginpt",249
"22038","ecginpt",574
"22039","gceinpt",447
"22040","icegnpt",702
"22041","ncegipt",673
"22042","pcegint",462
"22043","tceginp",454
"22044","ceginop",412
"22045","ecginop",468
"22046","gceinop",630
"22047","icegnop",781
"22048","ncegiop",852
"22049","oceginp",593
"22050","pcegino",502
"22051","aegimpr",903
"22052","eagimpr",1202
"22053","gaeimpr",683
"22054","iaegmpr",740
"22055","maegipr",754
"22056","paegimr",719
"22057","raegimp",1215
"22058","aeghipr",633
"22059","eaghipr",760
"22060","gaehipr",455
"22061","haegipr",272
"22062","iaeghpr",451
"22063","paeghir",592
"22064","raeghip",797
"22065","deilopt",970
"22066","edilopt",1202
"22067","idelopt",776
"22068","ldeiopt",897
"22069","odeilpt",831
"22070","pdeilot",777
"22071","tdeilop",787
"22072","eilmnop",498
"22073","ielmnop",476
"22074","leimnop",445
"22075","meilnop",336
"22076","neilmop",456
"22077","oeilmnp",449
"22078","peilmno",338
"22079","egilopu",204
"22080","geilopu",138
"22081","ieglopu",170
"22082","legiopu",261
"22083","oegilpu",170
"22084","pegilou",169
"22085","uegilop",113
"22086","aeinpru",664
"22087","eainpru",888
"22088","iaenpru",662
"22089","naeipru",649
"22090","paeinru",807
"22091","raeinpu",911
"22092","uaeinpr",367
"22093","eimnpru",774
"22094","iemnpru",609
"22095","meinpru",441
"22096","neimpru",481
"22097","peimnru",551
"22098","reimnpu",732
"22099","ueimnpr",433
"22100","acegilp",659
"22101","caegilp",369
"22102","eacgilp",526
"22103","gaceilp",276
"22104","iaceglp",461
"22105","lacegip",618
"22106","pacegil",428
"22107","acehinp",484
"22108","caehinp",454
"22109","eachinp",483
"22110","haceinp",280
"22111","iacehnp",384
"22112","nacehip",499
"22113","pacehin",418
"22114","aehinpy",213
"22115","eahinpy",230
"22116","haeinpy",113
"22117","iaehnpy",191
"22118","naehipy",266
"22119","paehiny",279
"22120","yaehinp",157
